#   indx         mu         mg         mr         mi         mz          Mr
#
    5508 1.934167e+01 1.765309e+01 1.685595e+01 1.644977e+01 1.614930e+01 -2.075200e+01
    5516 1.969309e+01 1.761943e+01 1.666217e+01 1.623152e+01 1.576366e+01 -2.095932e+01
    5529 1.975628e+01 1.805353e+01 1.705826e+01 1.658357e+01 1.615765e+01 -2.045669e+01
    5588 1.988027e+01 1.803265e+01 1.709091e+01 1.671223e+01 1.640689e+01 -2.061800e+01
    5591 1.911679e+01 1.764506e+01 1.669009e+01 1.621720e+01 1.584302e+01 -2.100368e+01
    5593 1.875093e+01 1.783493e+01 1.725864e+01 1.690452e+01 1.686156e+01 -2.044820e+01
    5598 1.922848e+01 1.801815e+01 1.736647e+01 1.687997e+01 1.675840e+01 -2.031011e+01
    5601 1.896703e+01 1.781574e+01 1.729128e+01 1.692289e+01 1.673025e+01 -2.039375e+01
    5619 2.028274e+01 1.831794e+01 1.732883e+01 1.679227e+01 1.649745e+01 -2.037072e+01
    5624 1.963297e+01 1.800099e+01 1.710482e+01 1.674208e+01 1.644680e+01 -2.059222e+01
    5642 1.996791e+01 1.822852e+01 1.728700e+01 1.688774e+01 1.654448e+01 -2.044021e+01
    5645 1.898801e+01 1.785028e+01 1.711222e+01 1.670482e+01 1.640574e+01 -2.062621e+01
    5650 1.991257e+01 1.794102e+01 1.699528e+01 1.657363e+01 1.623319e+01 -2.074383e+01
    5720 1.920233e+01 1.803571e+01 1.752755e+01 1.721479e+01 1.702089e+01 -2.004342e+01
    5721 1.776810e+01 1.671472e+01 1.614183e+01 1.581192e+01 1.569416e+01 -2.137916e+01
    5747 1.894707e+01 1.737195e+01 1.651154e+01 1.612107e+01 1.579492e+01 -2.086131e+01
    5763 1.863804e+01 1.693599e+01 1.595624e+01 1.555418e+01 1.529246e+01 -2.145651e+01
    5773 1.869775e+01 1.778511e+01 1.722704e+01 1.694095e+01 1.665824e+01 -2.007241e+01
    5776 1.996123e+01 1.843128e+01 1.746145e+01 1.708055e+01 1.666916e+01 -1.987282e+01
    5801 1.898385e+01 1.729840e+01 1.635479e+01 1.598454e+01 1.584478e+01 -2.099896e+01
    5830 1.958768e+01 1.841673e+01 1.754618e+01 1.713845e+01 1.679635e+01 -1.977638e+01
    5981 1.914204e+01 1.751834e+01 1.673410e+01 1.622832e+01 1.588446e+01 -2.057027e+01
    5997 1.963717e+01 1.838560e+01 1.742174e+01 1.695323e+01 1.672591e+01 -2.027810e+01
    5999 1.932509e+01 1.810868e+01 1.757841e+01 1.726699e+01 1.718172e+01 -2.011896e+01
    6004 1.922017e+01 1.762942e+01 1.677372e+01 1.634511e+01 1.599649e+01 -2.098671e+01
    6012 1.909338e+01 1.751749e+01 1.703640e+01 1.670546e+01 1.645539e+01 -2.034696e+01
    6022 1.836032e+01 1.698551e+01 1.633126e+01 1.605489e+01 1.584485e+01 -2.096602e+01
    6034 1.921706e+01 1.742423e+01 1.654737e+01 1.609416e+01 1.575057e+01 -2.086303e+01
    6037 1.986534e+01 1.829276e+01 1.728141e+01 1.687349e+01 1.643758e+01 -2.011413e+01
    6039 1.893491e+01 1.776011e+01 1.727261e+01 1.694858e+01 1.671421e+01 -2.006544e+01
    6041 1.818414e+01 1.675238e+01 1.609527e+01 1.564003e+01 1.544934e+01 -2.126356e+01
    6042 1.851045e+01 1.689420e+01 1.624297e+01 1.589116e+01 1.577189e+01 -2.111341e+01
    6045 1.928383e+01 1.740558e+01 1.633334e+01 1.598539e+01 1.555506e+01 -2.107636e+01
    6046 1.939204e+01 1.806885e+01 1.751239e+01 1.714294e+01 1.687399e+01 -1.990821e+01
    6048 1.952473e+01 1.798628e+01 1.729572e+01 1.692361e+01 1.665990e+01 -2.013339e+01
    6050 1.999877e+01 1.821624e+01 1.736790e+01 1.707675e+01 1.679276e+01 -2.038676e+01
    6055 1.943679e+01 1.799974e+01 1.742360e+01 1.710496e+01 1.690947e+01 -1.997764e+01
    6060 1.881404e+01 1.738177e+01 1.686747e+01 1.654912e+01 1.641419e+01 -2.057151e+01
    6063 1.931799e+01 1.779949e+01 1.709073e+01 1.670898e+01 1.641562e+01 -2.034944e+01
    6071 1.960075e+01 1.800671e+01 1.728674e+01 1.684892e+01 1.656505e+01 -2.010198e+01
    6088 1.933773e+01 1.747651e+01 1.654424e+01 1.611357e+01 1.574880e+01 -2.085028e+01
    6093 1.971308e+01 1.762000e+01 1.669046e+01 1.627939e+01 1.599051e+01 -2.073713e+01
    6095 1.928978e+01 1.773525e+01 1.691413e+01 1.648671e+01 1.608040e+01 -2.048752e+01
    6099 1.970537e+01 1.793003e+01 1.699299e+01 1.659325e+01 1.619760e+01 -2.045001e+01
    6106 1.877082e+01 1.776695e+01 1.734173e+01 1.707386e+01 1.700971e+01 -2.024972e+01
    6267 1.904045e+01 1.756606e+01 1.661836e+01 1.615074e+01 1.569655e+01 -2.078604e+01
    6272 1.905929e+01 1.778493e+01 1.731064e+01 1.706231e+01 1.694553e+01 -2.011027e+01
    6281 1.962771e+01 1.802665e+01 1.712877e+01 1.675791e+01 1.646498e+01 -2.031363e+01
    6302 1.972214e+01 1.823606e+01 1.733256e+01 1.692810e+01 1.662397e+01 -2.036558e+01
    6340 1.995272e+01 1.821716e+01 1.735645e+01 1.700772e+01 1.663291e+01 -2.032183e+01
    6373 1.912731e+01 1.746480e+01 1.664627e+01 1.614120e+01 1.573768e+01 -2.071901e+01
    6379 1.931279e+01 1.811775e+01 1.731699e+01 1.691546e+01 1.664160e+01 -2.041337e+01
    6385 1.922099e+01 1.786267e+01 1.729012e+01 1.688788e+01 1.668622e+01 -2.015955e+01
    6389 1.914645e+01 1.791174e+01 1.732363e+01 1.700145e+01 1.688752e+01 -2.027055e+01
    6410 1.967828e+01 1.817419e+01 1.736759e+01 1.701908e+01 1.656553e+01 -2.021594e+01
    6453 1.869061e+01 1.760472e+01 1.705280e+01 1.669691e+01 1.652592e+01 -2.026108e+01
    6471 1.949475e+01 1.799574e+01 1.710728e+01 1.666043e+01 1.640793e+01 -2.043360e+01
